resource_id,species_id,title,description,habitat,medicinal_use,conservation_status,interesting_fact,image_filename
EDU0011,SP0011,Getting to know Great Egret,"An educational overview of Great Egret (Ardea alba), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Least Concern,Great Egret plays an important role in local ecosystem balance.,SP0011_Ardea_alba.jpg
EDU0012,SP0012,Getting to know Intermediate Egret,"An educational overview of Intermediate Egret (Ardea intermedia), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Vulnerable,Intermediate Egret has been recorded by citizen scientists across multiple villages.,SP0012_Ardea_intermedia.jpg
EDU0013,SP0013,Getting to know Black-headed Ibis,"An educational overview of Black-headed Ibis (Threskiornis melanocephalus), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Black-headed Ibis is considered a good indicator of local habitat health.,SP0013_Threskiornis_melanocephalus.jpg
EDU0014,SP0014,Getting to know Painted Stork,"An educational overview of Painted Stork (Mycteria leucocephala), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Least Concern,Painted Stork is most active during the Dec-Feb period.,SP0014_Mycteria_leucocephala.jpg
EDU0015,SP0015,Getting to know Asian Openbill,"An educational overview of Asian Openbill (Anastomus oscitans), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Asian Openbill has been recorded by citizen scientists across multiple villages.,SP0015_Anastomus_oscitans.jpg
EDU0016,SP0016,Getting to know Lesser Whistling Duck,"An educational overview of Lesser Whistling Duck (Dendrocygna javanica), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Least Concern,Lesser Whistling Duck is most active during the Dec-Feb period.,SP0016_Dendrocygna_javanica.jpg
EDU0017,SP0017,Getting to know Indian Spot-billed Duck,"An educational overview of Indian Spot-billed Duck (Anas poecilorhyncha), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Indian Spot-billed Duck plays an important role in local ecosystem balance.,SP0017_Anas_poecilorhyncha.jpg
EDU0018,SP0018,Getting to know Common Kingfisher,"An educational overview of Common Kingfisher (Alcedo atthis), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Common Kingfisher has been recorded by citizen scientists across multiple villages.,SP0018_Alcedo_atthis.jpg
EDU0019,SP0019,Getting to know White-throated Kingfisher,"An educational overview of White-throated Kingfisher (Halcyon smyrnensis), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Near Threatened,White-throated Kingfisher is most active during the Sep-Dec period.,SP0019_Halcyon_smyrnensis.jpg
EDU0020,SP0020,Getting to know Pied Kingfisher,"An educational overview of Pied Kingfisher (Ceryle rudis), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Vulnerable,Pied Kingfisher has been recorded by citizen scientists across multiple villages.,SP0020_Ceryle_rudis.jpg
EDU0021,SP0021,Getting to know Indian Roller,"An educational overview of Indian Roller (Coracias benghalensis), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Indian Roller is most active during the Dec-Feb period.,SP0021_Coracias_benghalensis.jpg
EDU0022,SP0022,Getting to know Green Bee-eater,"An educational overview of Green Bee-eater (Merops orientalis), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Endangered,Green Bee-eater is considered a good indicator of local habitat health.,SP0022_Merops_orientalis.jpg
EDU0023,SP0023,Getting to know Blue-tailed Bee-eater,"An educational overview of Blue-tailed Bee-eater (Merops philippinus), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Least Concern,Blue-tailed Bee-eater has been recorded by citizen scientists across multiple villages.,SP0023_Merops_philippinus.jpg
EDU0024,SP0024,Getting to know Common Hoopoe,"An educational overview of Common Hoopoe (Upupa epops), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Common Hoopoe plays an important role in local ecosystem balance.,SP0024_Upupa_epops.jpg
EDU0025,SP0025,Getting to know Coppersmith Barbet,"An educational overview of Coppersmith Barbet (Psilopogon haemacephalus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Endangered,Coppersmith Barbet has been recorded by citizen scientists across multiple villages.,SP0025_Psilopogon_haemacephalus.jpg
EDU0026,SP0026,Getting to know White-cheeked Barbet,"An educational overview of White-cheeked Barbet (Psilopogon viridis), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Least Concern,White-cheeked Barbet is most active during the Mar-Jun period.,SP0026_Psilopogon_viridis.jpg
EDU0027,SP0027,Getting to know Black Drongo,"An educational overview of Black Drongo (Dicrurus macrocercus), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Not Evaluated,Black Drongo plays an important role in local ecosystem balance.,SP0027_Dicrurus_macrocercus.jpg
EDU0028,SP0028,Getting to know Ashy Drongo,"An educational overview of Ashy Drongo (Dicrurus leucophaeus), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Ashy Drongo is most active during the Jun-Sep period.,SP0028_Dicrurus_leucophaeus.jpg
EDU0029,SP0029,Getting to know Indian Golden Oriole,"An educational overview of Indian Golden Oriole (Oriolus kundoo), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Near Threatened,Indian Golden Oriole is most active during the Sep-Dec period.,SP0029_Oriolus_kundoo.jpg
EDU0030,SP0030,Getting to know Rufous Treepie,"An educational overview of Rufous Treepie (Dendrocitta vagabunda), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Rufous Treepie has been recorded by citizen scientists across multiple villages.,SP0030_Dendrocitta_vagabunda.jpg
EDU0031,SP0031,Getting to know House Crow,"An educational overview of House Crow (Corvus splendens), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Data Deficient,House Crow is considered a good indicator of local habitat health.,SP0031_Corvus_splendens.jpg
EDU0032,SP0032,Getting to know Large-billed Crow,"An educational overview of Large-billed Crow (Corvus macrorhynchos), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Large-billed Crow plays an important role in local ecosystem balance.,SP0032_Corvus_macrorhynchos.jpg
EDU0033,SP0033,Getting to know Rose-ringed Parakeet,"An educational overview of Rose-ringed Parakeet (Psittacula krameri), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Near Threatened,Rose-ringed Parakeet is most active during the Dec-Feb period.,SP0033_Psittacula_krameri.jpg
EDU0034,SP0034,Getting to know Alexandrine Parakeet,"An educational overview of Alexandrine Parakeet (Psittacula eupatria), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Least Concern,Alexandrine Parakeet is most active during the Sep-Dec period.,SP0034_Psittacula_eupatria.jpg
EDU0035,SP0035,Getting to know Common Tailorbird,"An educational overview of Common Tailorbird (Orthotomus sutorius), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Least Concern,Common Tailorbird is considered a good indicator of local habitat health.,SP0035_Orthotomus_sutorius.jpg
EDU0036,SP0036,Getting to know Ashy Prinia,"An educational overview of Ashy Prinia (Prinia socialis), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Least Concern,Ashy Prinia is considered a good indicator of local habitat health.,SP0036_Prinia_socialis.jpg
EDU0037,SP0037,Getting to know Plain Prinia,"An educational overview of Plain Prinia (Prinia inornata), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Plain Prinia has been recorded by citizen scientists across multiple villages.,SP0037_Prinia_inornata.jpg
EDU0038,SP0038,Getting to know Purple Sunbird,"An educational overview of Purple Sunbird (Cinnyris asiaticus), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Near Threatened,Purple Sunbird has been recorded by citizen scientists across multiple villages.,SP0038_Cinnyris_asiaticus.jpg
EDU0039,SP0039,Getting to know Purple-rumped Sunbird,"An educational overview of Purple-rumped Sunbird (Leptocoma zeylonica), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Purple-rumped Sunbird has been recorded by citizen scientists across multiple villages.,SP0039_Leptocoma_zeylonica.jpg
EDU0040,SP0040,Getting to know Oriental White-eye,"An educational overview of Oriental White-eye (Zosterops palpebrosus), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Data Deficient,Oriental White-eye plays an important role in local ecosystem balance.,SP0040_Zosterops_palpebrosus.jpg
EDU0041,SP0041,Getting to know Red-vented Bulbul,"An educational overview of Red-vented Bulbul (Pycnonotus cafer), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Data Deficient,Red-vented Bulbul is considered a good indicator of local habitat health.,SP0041_Pycnonotus_cafer.jpg
EDU0042,SP0042,Getting to know Red-whiskered Bulbul,"An educational overview of Red-whiskered Bulbul (Pycnonotus jocosus), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Not Evaluated,Red-whiskered Bulbul has been recorded by citizen scientists across multiple villages.,SP0042_Pycnonotus_jocosus.jpg
EDU0043,SP0043,Getting to know White-browed Bulbul,"An educational overview of White-browed Bulbul (Pycnonotus luteolus), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Not Evaluated,White-browed Bulbul plays an important role in local ecosystem balance.,SP0043_Pycnonotus_luteolus.jpg
EDU0044,SP0044,Getting to know Indian Robin,"An educational overview of Indian Robin (Copsychus fulicatus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Not Evaluated,Indian Robin is considered a good indicator of local habitat health.,SP0044_Copsychus_fulicatus.jpg
EDU0045,SP0045,Getting to know Oriental Magpie-Robin,"An educational overview of Oriental Magpie-Robin (Copsychus saularis), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Least Concern,Oriental Magpie-Robin is most active during the Dec-Feb period.,SP0045_Copsychus_saularis.jpg
EDU0046,SP0046,Getting to know Pied Bushchat,"An educational overview of Pied Bushchat (Saxicola caprata), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Pied Bushchat is considered a good indicator of local habitat health.,SP0046_Saxicola_caprata.jpg
EDU0047,SP0047,Getting to know Siberian Stonechat,"An educational overview of Siberian Stonechat (Saxicola maurus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Endangered,Siberian Stonechat is most active during the Year-round period.,SP0047_Saxicola_maurus.jpg
EDU0048,SP0048,Getting to know Zitting Cisticola,"An educational overview of Zitting Cisticola (Cisticola juncidis), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Near Threatened,Zitting Cisticola has been recorded by citizen scientists across multiple villages.,SP0048_Cisticola_juncidis.jpg
EDU0049,SP0049,Getting to know Baya Weaver,"An educational overview of Baya Weaver (Ploceus philippinus), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Baya Weaver plays an important role in local ecosystem balance.,SP0049_Ploceus_philippinus.jpg
EDU0050,SP0050,Getting to know Scaly-breasted Munia,"An educational overview of Scaly-breasted Munia (Lonchura punctulata), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Not Evaluated,Scaly-breasted Munia is most active during the Jun-Sep period.,SP0050_Lonchura_punctulata.jpg
EDU0051,SP0051,Getting to know Indian Silverbill,"An educational overview of Indian Silverbill (Euodice malabarica), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Vulnerable,Indian Silverbill is most active during the Dec-Feb period.,SP0051_Euodice_malabarica.jpg
EDU0052,SP0052,Getting to know White-rumped Munia,"An educational overview of White-rumped Munia (Lonchura striata), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Least Concern,White-rumped Munia is considered a good indicator of local habitat health.,SP0052_Lonchura_striata.jpg
EDU0053,SP0053,Getting to know Common Iora,"An educational overview of Common Iora (Aegithina tiphia), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Least Concern,Common Iora is considered a good indicator of local habitat health.,SP0053_Aegithina_tiphia.jpg
EDU0054,SP0054,Getting to know Black-rumped Flameback,"An educational overview of Black-rumped Flameback (Dinopium benghalense), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Not Evaluated,Black-rumped Flameback is considered a good indicator of local habitat health.,SP0054_Dinopium_benghalense.jpg
EDU0055,SP0055,Getting to know Greater Coucal,"An educational overview of Greater Coucal (Centropus sinensis), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Greater Coucal has been recorded by citizen scientists across multiple villages.,SP0055_Centropus_sinensis.jpg
EDU0056,SP0056,Getting to know Asian Koel,"An educational overview of Asian Koel (Eudynamys scolopaceus), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Near Threatened,Asian Koel has been recorded by citizen scientists across multiple villages.,SP0056_Eudynamys_scolopaceus.jpg
EDU0057,SP0057,Getting to know Indian Grey Hornbill,"An educational overview of Indian Grey Hornbill (Ocyceros birostris), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Not Evaluated,Indian Grey Hornbill has been recorded by citizen scientists across multiple villages.,SP0057_Ocyceros_birostris.jpg
EDU0058,SP0058,Getting to know Brahminy Kite,"An educational overview of Brahminy Kite (Haliastur indus), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Vulnerable,Brahminy Kite plays an important role in local ecosystem balance.,SP0058_Haliastur_indus.jpg
EDU0059,SP0059,Getting to know Shikra,"An educational overview of Shikra (Accipiter badius), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Vulnerable,Shikra is most active during the Jun-Sep period.,SP0059_Accipiter_badius.jpg
EDU0060,SP0060,Getting to know Changeable Hawk-Eagle,"An educational overview of Changeable Hawk-Eagle (Nisaetus cirrhatus), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Not Evaluated,Changeable Hawk-Eagle plays an important role in local ecosystem balance.,SP0060_Nisaetus_cirrhatus.jpg
EDU0061,SP0061,Getting to know Short-toed Snake Eagle,"An educational overview of Short-toed Snake Eagle (Circaetus gallicus), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Near Threatened,Short-toed Snake Eagle is most active during the Dec-Feb period.,SP0061_Circaetus_gallicus.jpg
EDU0062,SP0062,Getting to know Egyptian Vulture,"An educational overview of Egyptian Vulture (Neophron percnopterus), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Least Concern,Egyptian Vulture is considered a good indicator of local habitat health.,SP0062_Neophron_percnopterus.jpg
EDU0063,SP0063,Getting to know White-rumped Vulture,"An educational overview of White-rumped Vulture (Gyps bengalensis), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Near Threatened,White-rumped Vulture has been recorded by citizen scientists across multiple villages.,SP0063_Gyps_bengalensis.jpg
EDU0064,SP0064,Getting to know Bar-headed Goose,"An educational overview of Bar-headed Goose (Anser indicus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Least Concern,Bar-headed Goose is considered a good indicator of local habitat health.,SP0064_Anser_indicus.jpg
EDU0065,SP0065,Getting to know Ruddy Shelduck,"An educational overview of Ruddy Shelduck (Tadorna ferruginea), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Vulnerable,Ruddy Shelduck plays an important role in local ecosystem balance.,SP0065_Tadorna_ferruginea.jpg
EDU0066,SP0066,Getting to know Northern Shoveler,"An educational overview of Northern Shoveler (Spatula clypeata), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Least Concern,Northern Shoveler is considered a good indicator of local habitat health.,SP0066_Spatula_clypeata.jpg
EDU0067,SP0067,Getting to know Common Teal,"An educational overview of Common Teal (Anas crecca), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Least Concern,Common Teal plays an important role in local ecosystem balance.,SP0067_Anas_crecca.jpg
EDU0068,SP0068,Getting to know Eurasian Coot,"An educational overview of Eurasian Coot (Fulica atra), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Near Threatened,Eurasian Coot is most active during the Dec-Feb period.,SP0068_Fulica_atra.jpg
EDU0069,SP0069,Getting to know Purple Swamphen,"An educational overview of Purple Swamphen (Porphyrio porphyrio), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Vulnerable,Purple Swamphen is considered a good indicator of local habitat health.,SP0069_Porphyrio_porphyrio.jpg
EDU0070,SP0070,Getting to know White-breasted Waterhen,"An educational overview of White-breasted Waterhen (Amaurornis phoenicurus), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Data Deficient,White-breasted Waterhen is considered a good indicator of local habitat health.,SP0070_Amaurornis_phoenicurus.jpg
EDU0071,SP0071,Getting to know Common Moorhen,"An educational overview of Common Moorhen (Gallinula chloropus), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Least Concern,Common Moorhen is considered a good indicator of local habitat health.,SP0071_Gallinula_chloropus.jpg
EDU0072,SP0072,Getting to know Pheasant-tailed Jacana,"An educational overview of Pheasant-tailed Jacana (Hydrophasianus chirurgus), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Least Concern,Pheasant-tailed Jacana has been recorded by citizen scientists across multiple villages.,SP0072_Hydrophasianus_chirurgus.jpg
EDU0073,SP0073,Getting to know Bronze-winged Jacana,"An educational overview of Bronze-winged Jacana (Metopidius indicus), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Least Concern,Bronze-winged Jacana is most active during the Mar-Jun period.,SP0073_Metopidius_indicus.jpg
EDU0074,SP0074,Getting to know Black-winged Stilt,"An educational overview of Black-winged Stilt (Himantopus himantopus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Near Threatened,Black-winged Stilt has been recorded by citizen scientists across multiple villages.,SP0074_Himantopus_himantopus.jpg
EDU0075,SP0075,Getting to know Red-wattled Lapwing,"An educational overview of Red-wattled Lapwing (Vanellus indicus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Not Evaluated,Red-wattled Lapwing is considered a good indicator of local habitat health.,SP0075_Vanellus_indicus.jpg
EDU0076,SP0076,Getting to know Yellow-wattled Lapwing,"An educational overview of Yellow-wattled Lapwing (Vanellus malabaricus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Endangered,Yellow-wattled Lapwing has been recorded by citizen scientists across multiple villages.,SP0076_Vanellus_malabaricus.jpg
EDU0077,SP0077,Getting to know River Tern,"An educational overview of River Tern (Sterna aurantia), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Data Deficient,River Tern is most active during the Jun-Sep period.,SP0077_Sterna_aurantia.jpg
EDU0078,SP0078,Getting to know Small Pratincole,"An educational overview of Small Pratincole (Glareola lactea), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Near Threatened,Small Pratincole plays an important role in local ecosystem balance.,SP0078_Glareola_lactea.jpg
EDU0079,SP0079,Getting to know Grey Wagtail,"An educational overview of Grey Wagtail (Motacilla cinerea), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Not Evaluated,Grey Wagtail is considered a good indicator of local habitat health.,SP0079_Motacilla_cinerea.jpg
EDU0080,SP0080,Getting to know White Wagtail,"An educational overview of White Wagtail (Motacilla alba), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Data Deficient,White Wagtail is considered a good indicator of local habitat health.,SP0080_Motacilla_alba.jpg
EDU0081,SP0081,Getting to know Paddyfield Pipit,"An educational overview of Paddyfield Pipit (Anthus rufulus), covering identification, habitat, and ecological role in the Kopargaon region.",Temple Grove,None documented,Data Deficient,Paddyfield Pipit is most active during the Dec-Feb period.,SP0081_Anthus_rufulus.jpg
EDU0082,SP0082,Getting to know Indian Nightjar,"An educational overview of Indian Nightjar (Caprimulgus asiaticus), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Least Concern,Indian Nightjar has been recorded by citizen scientists across multiple villages.,SP0082_Caprimulgus_asiaticus.jpg
EDU0083,SP0083,Getting to know Alpine Swift,"An educational overview of Alpine Swift (Tachymarptis melba), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Alpine Swift has been recorded by citizen scientists across multiple villages.,SP0083_Tachymarptis_melba.jpg
EDU0084,SP0084,Getting to know Little Swift,"An educational overview of Little Swift (Apus affinis), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Least Concern,Little Swift is considered a good indicator of local habitat health.,SP0084_Apus_affinis.jpg
EDU0085,SP0085,Getting to know House Swift,"An educational overview of House Swift (Apus nipalensis), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Not Evaluated,House Swift is considered a good indicator of local habitat health.,SP0085_Apus_nipalensis.jpg
EDU0086,SP0086,Getting to know Crested Serpent Eagle,"An educational overview of Crested Serpent Eagle (Spilornis cheela), covering identification, habitat, and ecological role in the Kopargaon region.",Canal,None documented,Near Threatened,Crested Serpent Eagle has been recorded by citizen scientists across multiple villages.,SP0086_Spilornis_cheela.jpg
EDU0087,SP0087,Getting to know Common Kestrel,"An educational overview of Common Kestrel (Falco tinnunculus), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Near Threatened,Common Kestrel plays an important role in local ecosystem balance.,SP0087_Falco_tinnunculus.jpg
EDU0088,SP0088,Getting to know Grey Francolin,"An educational overview of Grey Francolin (Francolinus pondicerianus), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Vulnerable,Grey Francolin has been recorded by citizen scientists across multiple villages.,SP0088_Francolinus_pondicerianus.jpg
EDU0089,SP0089,Getting to know Rain Quail,"An educational overview of Rain Quail (Coturnix coromandelica), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Data Deficient,Rain Quail plays an important role in local ecosystem balance.,SP0089_Coturnix_coromandelica.jpg
EDU0090,SP0090,Getting to know Sarus Crane,"An educational overview of Sarus Crane (Antigone antigone), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Vulnerable,Sarus Crane is most active during the Dec-Feb period.,SP0090_Antigone_antigone.jpg
EDU0091,SP0091,Getting to know Woolly-necked Stork,"An educational overview of Woolly-necked Stork (Ciconia episcopus), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Least Concern,Woolly-necked Stork has been recorded by citizen scientists across multiple villages.,SP0091_Ciconia_episcopus.jpg
EDU0092,SP0092,Getting to know Black-necked Stork,"An educational overview of Black-necked Stork (Ephippiorhynchus asiaticus), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Least Concern,Black-necked Stork has been recorded by citizen scientists across multiple villages.,SP0092_Ephippiorhynchus_asiaticus.jpg
EDU0093,SP0093,Getting to know Glossy Ibis,"An educational overview of Glossy Ibis (Plegadis falcinellus), covering identification, habitat, and ecological role in the Kopargaon region.",Agricultural Field,None documented,Vulnerable,Glossy Ibis is considered a good indicator of local habitat health.,SP0093_Plegadis_falcinellus.jpg
EDU0094,SP0094,Getting to know Eurasian Spoonbill,"An educational overview of Eurasian Spoonbill (Platalea leucorodia), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Least Concern,Eurasian Spoonbill is most active during the Dec-Feb period.,SP0094_Platalea_leucorodia.jpg
EDU0095,SP0095,Getting to know Little Cormorant,"An educational overview of Little Cormorant (Microcarbo niger), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Least Concern,Little Cormorant has been recorded by citizen scientists across multiple villages.,SP0095_Microcarbo_niger.jpg
EDU0096,SP0096,Getting to know Indian Cormorant,"An educational overview of Indian Cormorant (Phalacrocorax fuscicollis), covering identification, habitat, and ecological role in the Kopargaon region.",Urban Garden,None documented,Least Concern,Indian Cormorant is considered a good indicator of local habitat health.,SP0096_Phalacrocorax_fuscicollis.jpg
EDU0097,SP0097,Getting to know Great Cormorant,"An educational overview of Great Cormorant (Phalacrocorax carbo), covering identification, habitat, and ecological role in the Kopargaon region.",Grassland,None documented,Least Concern,Great Cormorant is most active during the Mar-Jun period.,SP0097_Phalacrocorax_carbo.jpg
EDU0098,SP0098,Getting to know Oriental Darter,"An educational overview of Oriental Darter (Anhinga melanogaster), covering identification, habitat, and ecological role in the Kopargaon region.",Wetland,None documented,Not Evaluated,Oriental Darter is most active during the Dec-Feb period.,SP0098_Anhinga_melanogaster.jpg
EDU0099,SP0099,Getting to know Yellow-eyed Pigeon,"An educational overview of Yellow-eyed Pigeon (Columba eversmanni), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Least Concern,Yellow-eyed Pigeon has been recorded by citizen scientists across multiple villages.,SP0099_Columba_eversmanni.jpg
EDU0100,SP0100,Getting to know Blue Rock Thrush,"An educational overview of Blue Rock Thrush (Monticola solitarius), covering identification, habitat, and ecological role in the Kopargaon region.",Godavari River,None documented,Least Concern,Blue Rock Thrush has been recorded by citizen scientists across multiple villages.,SP0100_Monticola_solitarius.jpg
